value,unit,year,latitude,longitude,gas
601.5,ppb,-12497.0,-75.0025,0.0684,ch4
594.2,ppb,-12549.0,-75.0025,0.0684,ch4
609.8,ppb,-12556.0,-75.0025,0.0684,ch4
552.5,ppb,-12609.0,-75.0025,0.0684,ch4
521.0,ppb,-12710.0,-75.0025,0.0684,ch4
496.3,ppb,-12711.0,-75.0025,0.0684,ch4
484.9,ppb,-12718.0,-75.0025,0.0684,ch4
471.0,ppb,-12781.0,-75.0025,0.0684,ch4
468.5,ppb,-12793.0,-75.0025,0.0684,ch4
454.2,ppb,-12877.0,-75.0025,0.0684,ch4
487.3,ppb,-12981.0,-75.0025,0.0684,ch4
468.2,ppb,-13015.0,-75.0025,0.0684,ch4
460.1,ppb,-13128.0,-75.0025,0.0684,ch4
468.8,ppb,-13140.0,-75.0025,0.0684,ch4
475.8,ppb,-13222.0,-75.0025,0.0684,ch4
470.3,ppb,-13297.0,-75.0025,0.0684,ch4
465.2,ppb,-13302.0,-75.0025,0.0684,ch4
455.9,ppb,-13440.0,-75.0025,0.0684,ch4
466.6,ppb,-13455.0,-75.0025,0.0684,ch4
446.8,ppb,-13564.0,-75.0025,0.0684,ch4
440.7,ppb,-13684.0,-75.0025,0.0684,ch4
452.3,ppb,-13685.0,-75.0025,0.0684,ch4
446.7,ppb,-13846.0,-75.0025,0.0684,ch4
437.1,ppb,-13936.0,-75.0025,0.0684,ch4
455.0,ppb,-13984.0,-75.0025,0.0684,ch4
449.4,ppb,-14189.0,-75.0025,0.0684,ch4
435.3,ppb,-14267.0,-75.0025,0.0684,ch4
426.7,ppb,-14378.0,-75.0025,0.0684,ch4
439.0,ppb,-14379.0,-75.0025,0.0684,ch4
421.4,ppb,-14555.0,-75.0025,0.0684,ch4
408.3,ppb,-14628.0,-75.0025,0.0684,ch4
439.4,ppb,-14907.0,-75.0025,0.0684,ch4
398.5,ppb,-15024.0,-75.0025,0.0684,ch4
402.0,ppb,-15112.0,-75.0025,0.0684,ch4
418.3,ppb,-15261.0,-75.0025,0.0684,ch4
390.0,ppb,-15469.0,-75.0025,0.0684,ch4
389.9,ppb,-15695.0,-75.0025,0.0684,ch4
385.7,ppb,-15867.0,-75.0025,0.0684,ch4
378.6,ppb,-15979.0,-75.0025,0.0684,ch4
387.3,ppb,-16401.0,-75.0025,0.0684,ch4
376.8,ppb,-16763.0,-75.0025,0.0684,ch4
376.8,ppb,-16918.0,-75.0025,0.0684,ch4
370.9,ppb,-16934.0,-75.0025,0.0684,ch4
364.0,ppb,-17484.0,-75.0025,0.0684,ch4
375.8,ppb,-17596.0,-75.0025,0.0684,ch4
372.7,ppb,-17676.0,-75.0025,0.0684,ch4
365.5,ppb,-17895.0,-75.0025,0.0684,ch4
368.0,ppb,-18083.0,-75.0025,0.0684,ch4
